#Red Line
Dilshad Garden, 654, 621
Jhil Mil, 616, 604
Mansarovar Park, 589, 595
Shahdara, 558, 582
Welcome, 544, 575
Seelampur, 524, 566
Shastri Park, 505, 554
Kashmere Gate, 484, 539
Tis Hazari, 465, 524
Pul Bangash, 446, 515
Pratap Nagar, 423, 517
Shastri Nagar, 396, 525
Inder Lok, 373, 537
Kanhaiya Nagar, 351, 548
Keshav Puram, 329, 563
Netaji Subhash Place, 305, 575
Kohat Enclave, 271, 595
Pitam Pura, 241, 613
Rohini East, 221, 626
Rohini West, 195, 648
Rithala, 168, 667
#Yellow Line
Samaypur Badli, 238, 734
Rohini Sector 18,19, 269, 725
Haiderpur Badli Mor, 297, 714
Jahangirpuri, 329, 696
Adarsh Nagar, 353, 682
Azadpur, 373, 670
Model Town, 407, 646
G.T.B. Nagar, 432, 625
Vishwavidyalaya, 452, 605
Vidhan Sabha, 466, 586
Civil Lines, 475, 565
Kashmere Gate, 484, 539
Chandni Chowk, 485, 514
Chawri Bazar, 485, 491
New Delhi, 485, 467
Rajiv Chowk, 483, 443
Patel Chowk, 482, 424
Central Secretariat, 483, 403
Udyog Bhawan, 481, 380
Lok Kalyan Marg, 482, 358
Jorbagh, 482, 333
INA, 481, 313
AIIMS, 481, 290
Green Park, 481, 268
Hauz Khas, 481, 245
Malviya Nagar, 481, 224
Saket, 481, 202
Qutab Minar, 482, 179
Chhattarpur, 485, 157
Sultanpur, 482, 134
Ghitorni, 481, 112
Arjan Garh, 480, 90
Guru Dronacharya, 479, 68
Sikandarpur, 482, 45
MG Road, 481, 23
IFFCO Chowk, 480, 1
Huda City Centre, 478, -21
#Blue Line
Dwarka Sec-21, 242, 272
Dwarka Sec-08, 214, 301
Dwarka Sec-09, 194, 318
Dwarka Sec-10, 171, 341
Dwarka Sec-11, 154, 360
Dwarka Sec-12, 133, 385
Dwarka Sec-13, 115, 415
Dwarka Sec-14, 99, 445
Dwarka, 96, 470
Dwarka Mor, 111, 479
Nawada, 124, 482
Uttam Nagar West, 147, 482
Uttam Nagar East, 170, 481
Janak Puri West, 192, 478
Janak Puri East, 217, 476
Tilak Nagar, 246, 474
Subhash Nagar, 269, 471
Tagore Garden, 300, 468
Rajouri Garden, 318, 465
Ramesh Nagar, 333, 465
Moti Nagar, 355, 462
Kirti Nagar, 368, 460
Shadipur, 380, 460
Patel Nagar, 400, 458
Rajendra Place, 414, 456
Karol Bagh, 430, 455
Jhandewalan, 443, 450
R K Ashram Marg, 469, 446
Rajiv Chowk, 483, 443
Barakhamba, 502, 439
Mandi House, 526, 438
Pragati Maidan, 544, 433
Indraprastha, 563, 434
Yamuna Bank, 584, 433
Akshardham, 602, 431
Mayur Vihar Phase-1, 617, 430
Mayur Vihar Extention, 640, 429
New Ashok Nagar, 661, 428
Noida Sector-15, 686, 428
Noida Sector-16, 706, 430
Noida Sector-18, 725, 429
Botanical Garden, 758, 429
Golf Course, 790, 430
Noida City Center, 824, 429
#Magenta Line
Janak Puri West, 192, 478
Dabri Mor, 217, 440
Dashrath Puri, 241, 411
Palam, 271, 379
Sadar Bazaar Cantonment, 294, 351
Terminal 1 IGI Airport, 339, 308
Shankar Vihar, 361, 288
Vasant Vihar, 383, 270
Munirka, 409, 257
R.K Puram, 433, 250
IIT Delhi, 456, 246
Hauz Khas, 481, 245
Panchsheel Park, 509, 240
Chirag Delhi, 540, 239
Greater Kailash, 564, 238
Nehru Enclave, 598, 238
Kalkaji Mandir, 642, 242
Okhla N.S.I.C, 656, 270
Sukhdev Vihar, 669, 293
Jamia Millia Islamia, 683, 315
Okhla Vihar, 698, 339
Jasola Vihar Shaheen Bagh, 713, 361
Kalindi Kunj, 729, 384
Okhla Bird Sanctuary, 747, 409
Botanical Garden, 758, 429
#Pink Line
Majlis Park, 435, 714
Azadpur, 373, 670
Shalimar Bagh, 341, 624
Netaji Subhash Place, 305, 575
Shakurpur, 298, 541
Punjabi Bagh West, 301, 521
ESI Hospital, 306, 498
Rajouri Garden, 318, 465
Maya Puri, 333, 442
Naraina Vihar, 350, 414
Delhi Cantt, 364, 390
Durgabai Deshmukh South Campus, 387, 366
Sir Vishweshwaraiah Moti Bagh, 405, 353
Bhikaji Cama Place, 424, 339
Sarojini Nagar, 453, 322
INA, 481, 313
South Extension, 512, 311
Lajpat Nagar, 571, 317
#Violet Line
Kashmere Gate, 484, 539
Lal Quila, 513, 526
Jama Masjid, 527, 510
Delhi Gate, 535, 487
ITO, 537, 463
Mandi House, 526, 438
Central Secretariat, 483, 403
Janpath, 504, 387
Khan Market, 521, 371
Jawaharlal Nehru Stadium, 535, 355
Jangpura, 550, 339
Lajpat Nagar, 571, 317
Moolchand, 584, 303
Kailash Colony, 598, 286
Nehru Place, 617, 264
Kalkaji Mandir, 642, 242
Govind Puri, 698, 252
Okhla, 735, 254
Jasola, 768, 253
Sarita Vihar, 806, 248
Mohan Estate, 831, 232
Tughlakabad, 839, 206
Badarpur, 826, 180
Sarai, 806, 158
N.H.P.C. Chowk, 789, 149
Mewala Maharajpur, 771, 142
Sector 28 Faridabad, 750, 136
Badkal Mor, 718, 131
Old Faridabad, 687, 135
Neelam Chowk Ajronda, 668, 137
Bata Chowk, 639, 145
Escorts Mujesar, 611, 161
#Airport Express
New Delhi, 485, 467
Shivaji Stadium, 429, 427
Durgabai Deshmukh South Campus, 387, 366
Delhi Aero City, 292, 314
IGI Airport, 270, 296
Dwarka Sec-21, 242, 272
